derivative,command_send,command_response,answer
Nam thường đến nhà của Nam.,"s(Tree,[nam, thuong, den, nha, cua, nam],[]).","s(Tree,[nam, thuong, den, nha, cua, nam],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(thuong)),verbp(verb(den),nounp(noun(nha),pp(p(cua),nounp(propenn(nam))))))"
Lan thường đến trường của Lan.,"s(Tree,[lan, thuong, den, truong, cua, lan],[]).","s(Tree,[lan, thuong, den, truong, cua, lan],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(thuong)),verbp(verb(den),nounp(noun(truong),pp(p(cua),nounp(propenn(lan))))))"
Nam thường đến trường của Nam.,"s(Tree,[nam, thuong, den, truong, cua, nam],[]).","s(Tree,[nam, thuong, den, truong, cua, nam],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(thuong)),verbp(verb(den),nounp(noun(truong),pp(p(cua),nounp(propenn(nam))))))"
Lan thường đến thư viện của Lan.,"s(Tree,[lan, thuong, den, thu-vien, cua, lan],[]).","s(Tree,[lan, thuong, den, thu-vien, cua, lan],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(thuong)),verbp(verb(den),nounp(noun(thu-vien),pp(p(cua),nounp(propenn(lan))))))"
Nam thường đến thư viện của Nam.,"s(Tree,[nam, thuong, den, thu-vien, cua, nam],[]).","s(Tree,[nam, thuong, den, thu-vien, cua, nam],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(thuong)),verbp(verb(den),nounp(noun(thu-vien),pp(p(cua),nounp(propenn(nam))))))"
Lan thích đến nhà của Lan.,"s(Tree,[lan, thich, den, nha, cua, lan],[]).","s(Tree,[lan, thich, den, nha, cua, lan],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(den),nounp(noun(nha),pp(p(cua),nounp(propenn(lan)))))))"
Nam thích đến nhà của Nam.,"s(Tree,[nam, thich, den, nha, cua, nam],[]).","s(Tree,[nam, thich, den, nha, cua, nam],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(den),nounp(noun(nha),pp(p(cua),nounp(propenn(nam)))))))"
Lan thích đến trường của Nam.,"s(Tree,[lan, thich, den, truong, cua, nam],[]).","s(Tree,[lan, thich, den, truong, cua, nam],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(den),nounp(noun(truong),pp(p(cua),nounp(propenn(nam)))))))"
Nam thích đến trường của Lan.,"s(Tree,[nam, thich, den, truong, cua, lan],[]).","s(Tree,[nam, thich, den, truong, cua, lan],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(den),nounp(noun(truong),pp(p(cua),nounp(propenn(lan)))))))"
Lan thích đến thư viện của Nam.,"s(Tree,[lan, thich, den, thu-vien, cua, nam],[]).","s(Tree,[lan, thich, den, thu-vien, cua, nam],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(den),nounp(noun(thu-vien),pp(p(cua),nounp(propenn(nam)))))))"
Nam thích đến thư viện của Lan.,"s(Tree,[nam, thich, den, thu-vien, cua, lan],[]).","s(Tree,[nam, thich, den, thu-vien, cua, lan],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(den),nounp(noun(thu-vien),pp(p(cua),nounp(propenn(lan)))))))"
Lan mới đến nhà của Lan.,"s(Tree,[lan, moi, den, nha, cua, lan],[]).","s(Tree,[lan, moi, den, nha, cua, lan],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(moi)),verbp(verb(den),nounp(noun(nha),pp(p(cua),nounp(propenn(lan))))))"
Nam mới đến nhà của Nam.,"s(Tree,[nam, moi, den, nha, cua, nam],[]).","s(Tree,[nam, moi, den, nha, cua, nam],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(moi)),verbp(verb(den),nounp(noun(nha),pp(p(cua),nounp(propenn(nam))))))"
Lan mới đến trường của Nam.,"s(Tree,[lan, moi, den, truong, cua, nam],[]).","s(Tree,[lan, moi, den, truong, cua, nam],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(moi)),verbp(verb(den),nounp(noun(truong),pp(p(cua),nounp(propenn(nam))))))"
Nam mới đến trường của Lan.,"s(Tree,[nam, moi, den, truong, cua, lan],[]).","s(Tree,[nam, moi, den, truong, cua, lan],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(moi)),verbp(verb(den),nounp(noun(truong),pp(p(cua),nounp(propenn(lan))))))"
Lan mới đến thư viện của Nam.,"s(Tree,[lan, moi, den, thu-vien, cua, nam],[]).","s(Tree,[lan, moi, den, thu-vien, cua, nam],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(moi)),verbp(verb(den),nounp(noun(thu-vien),pp(p(cua),nounp(propenn(nam))))))"
Nam mới đến thư viện của Lan.,"s(Tree,[nam, moi, den, thu-vien, cua, lan],[]).","s(Tree,[nam, moi, den, thu-vien, cua, lan],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(moi)),verbp(verb(den),nounp(noun(thu-vien),pp(p(cua),nounp(propenn(lan))))))"
Nam thích đến thư viện.,"s(Tree,[nam, thich, den, thu-vien],[]).","s(Tree,[nam, thich, den, thu-vien],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(den),nounp(noun(thu-vien)))))"
Lan thích đến thư viện.,"s(Tree,[lan, thich, den, thu-vien],[]).","s(Tree,[lan, thich, den, thu-vien],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(den),nounp(noun(thu-vien)))))"
Nam thích đến trường.,"s(Tree,[nam, thich, den, truong],[]).","s(Tree,[nam, thich, den, truong],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(den),nounp(noun(truong)))))"
Lan thích đến trường.,"s(Tree,[lan, thich, den, truong],[]).","s(Tree,[lan, thich, den, truong],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(den),nounp(noun(truong)))))"
Nam thích đến nhà.,"s(Tree,[nam, thich, den, nha],[]).","s(Tree,[nam, thich, den, nha],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(den),nounp(noun(nha)))))"
Lan thích đến nhà.,"s(Tree,[lan, thich, den, nha],[]).","s(Tree,[lan, thich, den, nha],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(den),nounp(noun(nha)))))"
Nam rất thích đọc sách ở thư viện.,"s(Tree,[nam, rat, thich, doc, sach, o, thu-vien],[]).","s(Tree,[nam, rat, thich, doc, sach, o, thu-vien],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(rat)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(thu-vien)))))))"
Nam rất thích đọc sách ở trường.,"s(Tree,[nam, rat, thich, doc, sach, o, truong],[]).","s(Tree,[nam, rat, thich, doc, sach, o, truong],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(rat)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(truong)))))))"
Nam rất thích mua sách ở thư viện.,"s(Tree,[nam, rat, thich, mua, sach, o, thu-vien],[]).","s(Tree,[nam, rat, thich, mua, sach, o, thu-vien],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(rat)),verbp(verb(thich),verbp(verb(mua),nounp(noun(sach),pp(p(o),nounp(noun(thu-vien)))))))"
Lan rất thích đọc sách ở thư viện.,"s(Tree,[lan, rat, thich, doc, sach, o, thu-vien],[]).","s(Tree,[lan, rat, thich, doc, sach, o, thu-vien],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(rat)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(thu-vien)))))))"
Lan rất thích đọc sách ở trường.,"s(Tree,[lan, rat, thich, doc, sach, o, truong],[]).","s(Tree,[lan, rat, thich, doc, sach, o, truong],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(rat)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(truong)))))))"
Nam rất thích đọc sách.,"s(Tree,[nam, rat, thich, doc, sach],[]).","s(Tree,[nam, rat, thich, doc, sach],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(rat)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach)))))"
Lan rất thích đọc sách.,"s(Tree,[lan, rat, thich, doc, sach],[]).","s(Tree,[lan, rat, thich, doc, sach],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(rat)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach)))))"
Nam thích đọc sách.,"s(Tree,[nam, thich, doc, sach],[]).","s(Tree,[nam, thich, doc, sach],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach)))))"
Lan thích đọc sách.,"s(Tree,[lan, thich, doc, sach],[]).","s(Tree,[lan, thich, doc, sach],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach)))))"
Nam thích sách.,"s(Tree,[nam, thich, sach],[]).","s(Tree,[nam, thich, sach],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),nounp(noun(sach))))"
Lan thích sách.,"s(Tree,[lan, thich, sach],[]).","s(Tree,[lan, thich, sach],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),nounp(noun(sach))))"
Nam đọc sách.,"s(Tree,[nam, doc, sach],[]).","s(Tree,[nam, doc, sach],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(doc),nounp(noun(sach))))"
Lan đọc sách.,"s(Tree,[lan, doc, sach],[]).","s(Tree,[lan, doc, sach],[]).","Tree = sent(nounp(propenn(lan)),verbp(verb(doc),nounp(noun(sach))))"
Nam mua sách.,"s(Tree,[nam, mua, sach],[]).","s(Tree,[nam, mua, sach],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(mua),nounp(noun(sach))))"
Lan mua sách.,"s(Tree,[lan, mua, sach],[]).","s(Tree,[lan, mua, sach],[]).","Tree = sent(nounp(propenn(lan)),verbp(verb(mua),nounp(noun(sach))))"
Nam thích đọc sách ở thư viện.,"s(Tree,[nam, thich, doc, sach, o, thu-vien],[]).","s(Tree,[nam, thich, doc, sach, o, thu-vien],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(thu-vien)))))))"
Lan thích đọc sách ở thư viện. ,"s(Tree,[lan, thich, doc, sach, o, thu-vien],[]).","s(Tree,[lan, thich, doc, sach, o, thu-vien],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(thu-vien)))))))"
Nam thích đọc sách ở trường.,"s(Tree,[nam, thich, doc, sach, o, truong],[]).","s(Tree,[nam, thich, doc, sach, o, truong],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(truong)))))))"
Lan thích đọc sách ở trường. ,"s(Tree,[lan, thich, doc, sach, o, truong],[]).","s(Tree,[lan, thich, doc, sach, o, truong],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(thich),verbp(verb(doc),nounp(noun(sach),pp(p(o),nounp(noun(truong)))))))"
Nhà của Nam ở gần trường.,"s(Tree,[nha, cua, nam, o, gan, truong],[]).","s(Tree,[nha, cua, nam, o, gan, truong],[]).","Tree =sent(nounp(noun(nha),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(truong))))"
Nhà của Nam ở gần thư viện.,"s(Tree,[nha, cua, nam, o, gan, thu-vien],[]).","s(Tree,[nha, cua, nam, o, gan, thu-vien],[]).","Tree =sent(nounp(noun(nha),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(thu-vien))))"
Nhà của Lan ở gần trường.,"s(Tree,[nha, cua, lan, o, gan, truong],[]).","s(Tree,[nha, cua, lan, o, gan, truong],[]).","Tree =sent(nounp(noun(nha),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(truong))))"
Nhà của Lan ở gần thư viện.,"s(Tree,[nha, cua, lan, o, gan, thu-vien],[]).","s(Tree,[nha, cua, lan, o, gan, thu-vien],[]).","Tree =sent(nounp(noun(nha),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(thu-vien))))"
Trường của Nam ở gần nhà.,"s(Tree,[truong, cua, nam, o, gan, nha],[]).","s(Tree,[truong, cua, nam, o, gan, nha],[]).","Tree =sent(nounp(noun(truong),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha))))"
Trường của Lan ở gần nhà.,"s(Tree,[truong, cua, lan, o, gan, nha],[]).","s(Tree,[truong, cua, lan, o, gan, nha],[]).","Tree =sent(nounp(noun(truong),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha))))"
Trường của Nam ở gần thư viện.,"s(Tree,[truong, cua, nam, o, gan, thu-vien],[]).","s(Tree,[truong, cua, nam, o, gan, thu-vien],[]).","Tree =sent(nounp(noun(truong),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(thu-vien))))"
Trường của Lan ở gần thư viện.,"s(Tree,[truong, cua, lan, o, gan, thu-vien],[]).","s(Tree,[truong, cua, lan, o, gan, thu-vien],[]).","Tree =sent(nounp(noun(truong),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(thu-vien))))"
Thư viện của Nam ở gần nhà .,"s(Tree,[thu-vien, cua, nam, o, gan, nha],[]).","s(Tree,[thu-vien, cua, nam, o, gan, nha],[]).","Tree =sent(nounp(noun(thu-vien),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha))))"
Thư viện của Lan ở gần nhà .,"s(Tree,[thu-vien, cua, lan, o, gan, nha],[]).","s(Tree,[thu-vien, cua, lan, o, gan, nha],[]).","Tree =sent(nounp(noun(thu-vien),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha))))"
Thư viện của Nam ở gần trường .,"s(Tree,[thu-vien, cua, nam, o, gan, truong],[]).","s(Tree,[thu-vien, cua, nam, o, gan, truong],[]).","Tree =sent(nounp(noun(thu-vien),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(truong))))"
Thư viện của Lan ở gần trường.,"s(Tree,[thu-vien, cua, lan, o, gan, truong],[]).","s(Tree,[thu-vien, cua, lan, o, gan, truong],[]).","Tree =sent(nounp(noun(thu-vien),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(truong))))"
Trường của Nam ở gần nhà của Lan.,"s(Tree,[truong, cua, nam, o, gan, nha, cua, lan],[]).","s(Tree,[truong, cua, nam, o, gan, nha, cua, lan],[]).","Tree =sent(nounp(noun(truong),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha),pp(p(cua),nounp(propenn(lan))))))"
Trường của Lan ở gần nhà của Nam.,"s(Tree,[truong, cua, lan, o, gan, nha, cua, nam],[]).","s(Tree,[truong, cua, lan, o, gan, nha, cua, nam],[]).","Tree =sent(nounp(noun(truong),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha),pp(p(cua),nounp(propenn(nam))))))"
Thư viện của Nam ở gần nhà của Lan.,"s(Tree,[thu-vien, cua, nam, o, gan, nha, cua, lan],[]).","s(Tree,[thu-vien, cua, nam, o, gan, nha, cua, lan],[]).","Tree =sent(nounp(noun(thu-vien),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha),pp(p(cua),nounp(propenn(lan))))))"
Thư viện của Lan ở gần nhà của Nam.,"s(Tree,[thu-vien, cua, lan, o, gan, nha, cua, nam],[]).","s(Tree,[thu-vien, cua, lan, o, gan, nha, cua, nam],[]).","Tree =sent(nounp(noun(thu-vien),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha),pp(p(cua),nounp(propenn(nam))))))"
Nhà của Nam ở gần nhà của Lan.,"s(Tree,[nha, cua, nam, o, gan, nha, cua, lan],[]).","s(Tree,[nha, cua, nam, o, gan, nha, cua, lan],[]).","Tree =sent(nounp(noun(nha),pp(p(cua),nounp(propenn(nam)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha),pp(p(cua),nounp(propenn(lan))))))"
Nhà của Lan ở gần nhà của Nam.,"s(Tree,[nha, cua, lan, o, gan, nha, cua, nam],[]).","s(Tree,[nha, cua, lan, o, gan, nha, cua, nam],[]).","Tree =sent(nounp(noun(nha),pp(p(cua),nounp(propenn(lan)))),verbp(verb(o)),pp(p(gan),nounp(noun(nha),pp(p(cua),nounp(propenn(nam))))))"
Nam mới mua mấy cuốn sách mới.,"s(Tree,[nam, moi, mua, may, cuon-sach, moi],[]).","s(Tree,[nam, moi, mua, may, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Lan mới mua mấy cuốn sách mới.,"s(Tree,[lan, moi, mua, may, cuon-sach, moi],[]).","s(Tree,[lan, moi, mua, may, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Nam mới mua mấy cuốn sách rất hay.,"s(Tree,[nam, moi, mua, may, cuon-sach, rat, hay],[]).","s(Tree,[nam, moi, mua, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Lan mới mua mấy cuốn sách rất hay.,"s(Tree,[lan, moi, mua, may, cuon-sach, rat, hay],[]).","s(Tree,[lan, moi, mua, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Trường mới mua mấy cuốn sách mới.,"s(Tree,[truong, moi, mua, may, cuon-sach, moi],[]).","s(Tree,[truong, moi, mua, may, cuon-sach, moi],[]).","Tree =sent(nounp(noun(truong)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Thư viện mới mua mấy cuốn sách mới.,"s(Tree,[thu-vien, moi, mua, may, cuon-sach, moi],[]).","s(Tree,[thu-vien, moi, mua, may, cuon-sach, moi],[]).","Tree =sent(nounp(noun(thu-vien)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Trường mới mua mấy cuốn sách rất hay.,"s(Tree,[truong, moi, mua, may, cuon-sach, rat, hay],[]).","s(Tree,[truong, moi, mua, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(truong)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Thư viện mới mua mấy cuốn sách rất hay.,"s(Tree,[thu-vien, moi, mua, may, cuon-sach, rat, hay],[]).","s(Tree,[thu-vien, moi, mua, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(thu-vien)),advp(adv(moi)),verbp(verb(mua),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Nam mới mua sách.,"s(Tree,[nam, moi, mua, sach],[]).","s(Tree,[nam, moi, mua, sach],[]).","Tree =sent(nounp(propenn(nam)),advp(adv(moi)),verbp(verb(mua),nounp(noun(sach))))"
Lan mới mua sách.,"s(Tree,[lan, moi, mua, sach],[]).","s(Tree,[lan, moi, mua, sach],[]).","Tree =sent(nounp(propenn(lan)),advp(adv(moi)),verbp(verb(mua),nounp(noun(sach))))"
Trường mới mua sách.,"s(Tree,[truong, moi, mua, sach],[]).","s(Tree,[truong, moi, mua, sach],[]).","Tree =sent(nounp(noun(truong)),advp(adv(moi)),verbp(verb(mua),nounp(noun(sach))))"
Thư viện mới mua sách.,"s(Tree,[thu-vien, moi, mua, sach],[]).","s(Tree,[thu-vien, moi, mua, sach],[]).","Tree =sent(nounp(noun(thu-vien)),advp(adv(moi)),verbp(verb(mua),nounp(noun(sach))))"
Nam tặng Lan một cuốn sách rất hay.,"s(Tree,[nam, tang, lan, mot, cuon-sach, rat, hay],[]).","s(Tree,[nam, tang, lan, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Nam tặng Lan mấy cuốn sách rất hay.,"s(Tree,[nam, tang, lan, may, cuon-sach, rat, hay],[]).","s(Tree,[nam, tang, lan, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Lan tặng Nam một cuốn sách rất hay.,"s(Tree,[lan, tang, nam, mot, cuon-sach, rat, hay],[]).","s(Tree,[lan, tang, nam, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Lan tặng Nam mấy cuốn sách rất hay.,"s(Tree,[lan, tang, nam, may, cuon-sach, rat, hay],[]).","s(Tree,[lan, tang, nam, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Nam tặng Lan một cuốn sách mới.,"s(Tree,[nam, tang, lan, mot, cuon-sach, moi],[]).","s(Tree,[nam, tang, lan, mot, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Lan tặng Nam một cuốn sách mới.,"s(Tree,[lan, tang, nam, mot, cuon-sach, moi],[]).","s(Tree,[lan, tang, nam, mot, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(mot),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Nam tặng Lan mấy cuốn sách mới.,"s(Tree,[nam, tang, lan, may, cuon-sach, moi],[]).","s(Tree,[nam, tang, lan, may, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(nam)),verbp(verb(tang),nounp(propenn(lan)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Lan tặng Nam mấy cuốn sách mới.,"s(Tree,[lan, tang, nam, may, cuon-sach, moi],[]).","s(Tree,[lan, tang, nam, may, cuon-sach, moi],[]).","Tree =sent(nounp(propenn(lan)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(may),nounp(noun(cuon-sach)),adbj(adj(moi)))))"
Trường tặng Nam một cuốn sách rất hay.,"s(Tree,[truong, tang, nam, mot, cuon-sach, rat, hay],[]).","s(Tree,[truong, tang, nam, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Thư viện tặng Nam một cuốn sách rất hay.,"s(Tree,[thu-vien, tang, nam, mot, cuon-sach, rat, hay],[]).","s(Tree,[thu-vien, tang, nam, mot, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(mot),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Thư viện tặng Nam mấy cuốn sách rất hay.,"s(Tree,[thu-vien, tang, nam, may, cuon-sach, rat, hay],[]).","s(Tree,[thu-vien, tang, nam, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(thu-vien)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
Trường tặng Nam mấy cuốn sách rất hay.,"s(Tree,[truong, tang, nam, may, cuon-sach, rat, hay],[]).","s(Tree,[truong, tang, nam, may, cuon-sach, rat, hay],[]).","Tree =sent(nounp(noun(truong)),verbp(verb(tang),nounp(propenn(nam)),nounp(q(may),nounp(noun(cuon-sach)),advp(adv(rat)),adbj(adj(hay)))))"
